"масло","50 мл","100 мл","180 мл","250 мл","500 мл","1 л"
"подсолнечное","","","","220","400","720"
"рыжиковое","","","","300","540","970"
"льняное","","","","400","720","1300"
"горчичное","","","","400","720","1300"
"кокосовое","","","480","","",""
"кунжут не шлифованый","","315","","630","1130","2030"
"конопляное","","320","","640","1190","2140"
"кунжут черный","","385","","770","1380","2480"
"расторопши","","400","","790","1420","2590"
"грецкого ореха","","450","","900","1620","2910"
"тыквы штирийской","","520","","1040","1870","3370"
"миндальное","","580","","1160","2080","3750"
"кедровое","","850","","1700","3060","5500"
"черного тмина","500","900","","1800","3240","5830"
"облепиховое","1000","1900","","3400","6120",""
"амарантовое","2000","3500","","7000","12600",""
